Epoch:   0 | Loss: 5.8006e+00 | Accuracy: 0.0000e+00 | Validation loss: 5.4928e+00 | Validation accuracy: 0.0000e+00
Epoch:  10 | Loss: 4.7475e+00 | Accuracy: 0.0000e+00 | Validation loss: 4.5975e+00 | Validation accuracy: 0.0000e+00

Epoch:  20 | Loss: 3.7902e+00 | Accuracy: 0.0000e+00 | Validation loss: 3.6988e+00 | Validation accuracy: 0.0000e+00

Epoch:  30 | Loss: 3.0951e+00 | Accuracy: 0.0000e+00 | Validation loss: 3.0368e+00 | Validation accuracy: 0.0000e+00

Epoch:  40 | Loss: 2.5493e+00 | Accuracy: 0.0000e+00 | Validation loss: 2.5062e+00 | Validation accuracy: 0.0000e+00

Epoch:  50 | Loss: 2.1029e+00 | Accuracy: 0.0000e+00 | Validation loss: 2.0683e+00 | Validation accuracy: 0.0000e+00

Epoch:  60 | Loss: 1.7348e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.7060e+00 | Validation accuracy: 0.0000e+00

Epoch:  70 | Loss: 1.4282e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.4040e+00 | Validation accuracy: 0.0000e+00

Epoch:  80 | Loss: 1.1716e+00 | Accuracy: 0.0000e+00 | Validation loss: 1.1509e+00 | Validation accuracy: 0.0000e+00

Epoch:  90 | Loss: 9.5661e-01 | Accuracy: 0.0000e+00 | Validation loss: 9.3869e-01 | Validation accuracy: 0.0000e+00

Epoch:   0 | Loss: 4.3006e+00 | Accuracy: 0.0000e+00 | Validation loss: 4.1591e+00 | Validation accuracy: 0.0000e+00

